,Kappa,model
0,0.9710417259491143,DT40_D4
1,0.9711886330214725,DT40_D4
2,0.971134511900319,DT40_D4
3,0.9710421348788304,DT40_D4
4,0.971176624137452,DT40_D4
5,0.9764788142117626,DT40_D12
6,0.9766398867174703,DT40_D12
7,0.9765170442174397,DT40_D12
8,0.976541346132049,DT40_D12
9,0.9766937938398088,DT40_D12
0,0.9728731545759556,MLP40_L6
1,0.9737487501151292,MLP40_L6
2,0.9722271656966208,MLP40_L6
3,0.9736024115561882,MLP40_L6
4,0.9733471361044547,MLP40_L6
5,0.9743346011967375,MLP40_L16
6,0.9742883997265955,MLP40_L16
7,0.974215461416699,MLP40_L16
8,0.9744182909904374,MLP40_L16
9,0.974369362032155,MLP40_L16
10,0.9745384693297012,MLP40_L26
11,0.9745770942964398,MLP40_L26
12,0.9738829648681137,MLP40_L26
13,0.9745673051383376,MLP40_L26
14,0.974533535994832,MLP40_L26
15,0.9743620692970227,MLP40_L36
16,0.9745701469658201,MLP40_L36
17,0.9743625745174193,MLP40_L36
18,0.9746135552216079,MLP40_L36
19,0.9744799853295566,MLP40_L36
20,0.9744124603252076,MLP40_L46
21,0.9746776548464338,MLP40_L46
22,0.9744603519854665,MLP40_L46
23,0.9743738028392088,MLP40_L46
24,0.97458036347787,MLP40_L46
25,0.974254576910558,MLP40_L56
26,0.974460255368924,MLP40_L56
27,0.9742325710909324,MLP40_L56
28,0.9747210769409945,MLP40_L56
29,0.9745356678988831,MLP40_L56
0,0.9515068620458508,NB40_S1e-09
1,0.9518279342263135,NB40_S1e-09
2,0.9519191468775338,NB40_S1e-09
3,0.951893511677006,NB40_S1e-09
4,0.9519782408934708,NB40_S1e-09
5,0.9522130595467281,NB40_S1e-08
6,0.9524784997247799,NB40_S1e-08
7,0.9525400941880732,NB40_S1e-08
8,0.9525188685930872,NB40_S1e-08
9,0.9525815865294469,NB40_S1e-08
10,0.9539577268997808,NB40_S1e-07
11,0.9544229606927388,NB40_S1e-07
12,0.954263052073004,NB40_S1e-07
13,0.9542893079428866,NB40_S1e-07
14,0.954558982883293,NB40_S1e-07
15,0.9402522862289855,NB40_S1e-06
16,0.9403586537379318,NB40_S1e-06
17,0.9402751785699879,NB40_S1e-06
18,0.9392585517348997,NB40_S1e-06
19,0.9404510439126682,NB40_S1e-06
20,0.9402229208411303,NB40_S1e-05
21,0.9402972265378012,NB40_S1e-05
22,0.9402427513976332,NB40_S1e-05
23,0.9403564198340323,NB40_S1e-05
24,0.9404055973560304,NB40_S1e-05
25,0.9402189214354918,NB40_S0.0001
26,0.9402878852290245,NB40_S0.0001
27,0.9402042621265029,NB40_S0.0001
28,0.9403332142023334,NB40_S0.0001
29,0.9403610699948903,NB40_S0.0001
0,0.9679614858996027,ET40_E2D8
1,0.9703641845270683,ET40_E2D8
2,0.9698782851737962,ET40_E2D8
3,0.9609496813383657,ET40_E2D8
4,0.9710610941710057,ET40_E2D8
15,0.9753838161973658,ET40_E2D16
16,0.9699680466210335,ET40_E2D16
17,0.9675225875515323,ET40_E2D16
18,0.9727588619069075,ET40_E2D16
19,0.9757798235647726,ET40_E2D16
5,0.9691497942929513,ET40_E4D8
6,0.9701627281148298,ET40_E4D8
7,0.9702349596403713,ET40_E4D8
8,0.9700586654620579,ET40_E4D8
9,0.9709887906803943,ET40_E4D8
10,0.9690285079970627,ET40_E6D8
11,0.9703778848142492,ET40_E6D8
12,0.970743840104951,ET40_E6D8
13,0.970253568669036,ET40_E6D8
14,0.9714429042941227,ET40_E6D8
0,0.9699321735052422,RF40_E2D8
1,0.9719223540884021,RF40_E2D8
2,0.9730265727933709,RF40_E2D8
3,0.9644455059995941,RF40_E2D8
4,0.9738418555335633,RF40_E2D8
5,0.9720499696441898,RF40_E4D8
6,0.9727103117200199,RF40_E4D8
7,0.9746925284784973,RF40_E4D8
8,0.9715244247385252,RF40_E4D8
9,0.974866198865095,RF40_E4D8
10,0.9739866897849639,RF40_E6D8
11,0.975216892882312,RF40_E6D8
12,0.9749818935331226,RF40_E6D8
13,0.9749009198599797,RF40_E6D8
14,0.9749872967773244,RF40_E6D8
