,Kappa,model
0,0.9712571318575027,DT20_D4
1,0.9714086095412108,DT20_D4
2,0.9712744687408567,DT20_D4
3,0.9713131344351585,DT20_D4
4,0.9712891398090917,DT20_D4
5,0.975044267758376,DT20_D12
6,0.9751714914794682,DT20_D12
7,0.9749830453655728,DT20_D12
8,0.9751266983443957,DT20_D12
9,0.9751874075872408,DT20_D12
0,0.972594657750404,MLP20_L6
1,0.9715507430932218,MLP20_L6
2,0.9714448923438139,MLP20_L6
3,0.9716030198923699,MLP20_L6
4,0.9711722448856374,MLP20_L6
5,0.9728780778284902,MLP20_L16
6,0.9729166375174526,MLP20_L16
7,0.9728068177931157,MLP20_L16
8,0.9728512943249534,MLP20_L16
9,0.972977095683539,MLP20_L16
10,0.9718350041243793,MLP20_L26
11,0.9731191290448685,MLP20_L26
12,0.9728551229086704,MLP20_L26
13,0.9729062164595965,MLP20_L26
14,0.9729925399047079,MLP20_L26
15,0.9730140940733069,MLP20_L36
16,0.9731010015755491,MLP20_L36
17,0.9728760652098364,MLP20_L36
18,0.9729621862219261,MLP20_L36
19,0.9728779790552251,MLP20_L36
20,0.9728940578871187,MLP20_L46
21,0.97300796776424,MLP20_L46
22,0.9729068918018859,MLP20_L46
23,0.9719801274851171,MLP20_L46
24,0.9730180320556802,MLP20_L46
25,0.9729832049162711,MLP20_L56
26,0.9731050889424608,MLP20_L56
27,0.9728470630612785,MLP20_L56
28,0.9730603552901553,MLP20_L56
29,0.973051162062205,MLP20_L56
0,0.9612273824910916,NB20_S1e-09
1,0.9613690516861447,NB20_S1e-09
2,0.9613614411636657,NB20_S1e-09
3,0.9613565382427497,NB20_S1e-09
4,0.9613863280182652,NB20_S1e-09
5,0.9544574568142621,NB20_S1e-08
6,0.9546250498698545,NB20_S1e-08
7,0.9546661608866631,NB20_S1e-08
8,0.9547033806817566,NB20_S1e-08
9,0.9546881875605825,NB20_S1e-08
10,0.9548777373958304,NB20_S1e-07
11,0.9550945622032622,NB20_S1e-07
12,0.9550902824072132,NB20_S1e-07
13,0.9551243526411907,NB20_S1e-07
14,0.9551801286404025,NB20_S1e-07
15,0.9555839153174516,NB20_S1e-06
16,0.9557745887184499,NB20_S1e-06
17,0.9557214058942852,NB20_S1e-06
18,0.9557791295112689,NB20_S1e-06
19,0.9558165633968305,NB20_S1e-06
20,0.9555976817023895,NB20_S1e-05
21,0.9557902755658755,NB20_S1e-05
22,0.9557343323130281,NB20_S1e-05
23,0.9557924118937818,NB20_S1e-05
24,0.9558291082631244,NB20_S1e-05
25,0.955665747517689,NB20_S0.0001
26,0.9558575320023467,NB20_S0.0001
27,0.9558007140114126,NB20_S0.0001
28,0.9558580030212618,NB20_S0.0001
29,0.9558941064528041,NB20_S0.0001
0,0.9702692027042561,ET20_E2D8
1,0.9702894308396027,ET20_E2D8
2,0.9700650264706737,ET20_E2D8
3,0.9700028084463796,ET20_E2D8
4,0.9699041657577563,ET20_E2D8
15,0.9740675216328838,ET20_E2D16
16,0.9747311195373534,ET20_E2D16
17,0.9744084265496258,ET20_E2D16
18,0.9750192456181703,ET20_E2D16
19,0.9738511890874965,ET20_E2D16
5,0.9693481985534759,ET20_E4D8
6,0.9680945333916169,ET20_E4D8
7,0.9673444114887647,ET20_E4D8
8,0.9705228050365716,ET20_E4D8
9,0.969946402814916,ET20_E4D8
10,0.967558325717714,ET20_E6D8
11,0.9680769483861491,ET20_E6D8
12,0.9674459151733141,ET20_E6D8
13,0.9678710959710733,ET20_E6D8
14,0.9674151986667823,ET20_E6D8
0,0.973688047646173,RF20_E2D8
1,0.9738807143907748,RF20_E2D8
2,0.9655047346694138,RF20_E2D8
3,0.9604982162601784,RF20_E2D8
4,0.9592424294856772,RF20_E2D8
5,0.9736706487879212,RF20_E4D8
6,0.9740525396515021,RF20_E4D8
7,0.9736225433807183,RF20_E4D8
8,0.9736837747822993,RF20_E4D8
9,0.9604861938680175,RF20_E4D8
10,0.9736798068965143,RF20_E6D8
11,0.9741369069143098,RF20_E6D8
12,0.9735903868159124,RF20_E6D8
13,0.9654961254365597,RF20_E6D8
14,0.9627115173618274,RF20_E6D8
0,0.9734095842728098,XB20_E2D8
1,0.9735076561260271,XB20_E2D8
2,0.9734108524670979,XB20_E2D8
3,0.9735939989817151,XB20_E2D8
4,0.9735292715400098,XB20_E2D8
