Kappa,model
0.9599315381933194,E2D8
0.9710292788906846,E2D8
0.9719482462674482,E2D8
0.9685794157655673,E2D8
0.9701916054060673,E2D8
0.9692452694175997,E4D8
0.9705160369146387,E4D8
0.9718342749276897,E4D8
0.9703927411676615,E4D8
0.9688689110868289,E4D8
0.9681746060258664,E6D8
0.9709420225449116,E6D8
0.9702938348168508,E6D8
0.9708310800705188,E6D8
0.9694918577689807,E6D8
0.974283857409419,E2D16
0.9751749248085839,E2D16
0.9761793388157344,E2D16
0.9762375907844739,E2D16
0.9744834676172629,E2D16
0.9738305351393445,E4D16
0.9755874943612083,E4D16
0.9764414473175619,E4D16
0.9751905930540871,E4D16
0.974228439558418,E4D16
0.9737305085237993,E6D16
0.9754535087228474,E6D16
0.9745533439147167,E6D16
0.9751541945255697,E6D16
0.9753237834751626,E6D16
