Kappa,model
0.9613381891456119,S1e-09
0.9612881250044483,S1e-09
0.9615182864043916,S1e-09
0.9611206132137486,S1e-09
0.9612038930349293,S1e-09
0.9637391381585103,S1e-08
0.96385342989136,S1e-08
0.9640230012501898,S1e-08
0.9638500334428582,S1e-08
0.9636801956609448,S1e-08
0.9545769049232651,S1e-07
0.9547987304561864,S1e-07
0.9550014145905646,S1e-07
0.9638923210920038,S1e-07
0.9547296216359803,S1e-07
0.9559861184041084,S1e-06
0.9560572130291067,S1e-06
0.9562249882795107,S1e-06
0.9560070407701207,S1e-06
0.9559569137697517,S1e-06
0.9559744364874526,S1e-05
0.9562201808651367,S1e-05
0.956257488964985,S1e-05
0.9561125322731377,S1e-05
0.9561129836211892,S1e-05
0.9562956410308736,S0.0001
0.9564926576516863,S0.0001
0.9566471787741341,S0.0001
0.9564112031469727,S0.0001
0.9563536933163868,S0.0001
