Kappa,model
0.9710417259491143,D4
0.9711886330214725,D4
0.971134511900319,D4
0.9710421348788304,D4
0.971176624137452,D4
0.9793386277472699,D12
0.9794206959593225,D12
0.9792621691545499,D12
0.979258744406309,D12
0.9798076102122162,D12
0.9898365049190289,D20
0.9899154590703211,D20
0.989700389191066,D20
0.9895571036348548,D20
0.9893536100233612,D20
0.9959608157827657,D28
0.9965029517000985,D28
0.9966862462393148,D28
0.9959102923377439,D28
0.9959142377565876,D28
0.9980654776165921,D36
0.9984873714133691,D36
0.9986627236762515,D36
0.9978502903733707,D36
0.9978957243240452,D36
0.9988601684660188,D42
0.9991452929197345,D42
0.9994284394144292,D42
0.9987377908820313,D42
0.9987436796588604,D42
