Kappa,model
0.9710417259491143,D4
0.9711886330214725,D4
0.971134511900319,D4
0.9710421348788304,D4
0.971176624137452,D4
0.9764788142117626,D12
0.9766398867174703,D12
0.9765170442174397,D12
0.976541346132049,D12
0.9766937938398088,D12
0.98100652124476,D20
0.981310520676306,D20
0.9809560286709482,D20
0.9808560426494293,D20
0.9810735218640428,D20
0.9866842507064703,D28
0.9861384008081555,D28
0.98638868159214,D28
0.9857868889678788,D28
0.9857941240967246,D28
0.9891966890852857,D36
0.9887265552767917,D36
0.9888722226517385,D36
0.9883108186822323,D36
0.9881241577276229,D36
0.9900373561271681,D42
0.989583427668475,D42
0.9897811091135824,D42
0.9891819247617029,D42
0.989113153035913,D42
