Kappa,model
0.9829217802943485,E2D8
0.9829290716639818,E2D8
0.9828972498986661,E2D8
0.9829023212511252,E2D8
0.9828960396053649,E2D8
0.9835746751000739,E4D8
0.9833548406976628,E4D8
0.9834250338427056,E4D8
0.9835144327369632,E4D8
0.9836140257511771,E4D8
0.9838754446442554,E6D8
0.9837419264869959,E6D8
0.9833568222605835,E6D8
0.9835292568925459,E6D8
0.9836439063068743,E6D8
0.9886066634333102,E2D16
0.9888699914388873,E2D16
0.9886895791258108,E2D16
0.9888824885810761,E2D16
0.988587040439521,E2D16
0.9895551002147163,E4D16
0.9895029863428341,E4D16
0.9895025874175737,E4D16
0.9896280307149447,E4D16
0.9893773891255178,E4D16
0.990220650469437,E6D16
0.9902806147781446,E6D16
0.9900713408172414,E6D16
0.9903983525990833,E6D16
0.9900495690103739,E6D16
