Kappa,model
0.9416913654766033,E2D8
0.9363042037480062,E2D8
0.9353533835508923,E2D8
0.9476508541988061,E2D8
0.9432770875565955,E2D8
0.9527015296821091,E4D8
0.9654303528646708,E4D8
0.9534475493693494,E4D8
0.9512259552454438,E4D8
0.9544763444722997,E4D8
0.9685062722910138,E6D8
0.9728083365392539,E6D8
0.9726117669515145,E6D8
0.9724398447380769,E6D8
0.9600663073349751,E6D8
0.9775559575441847,E2D16
0.9777562639282144,E2D16
0.9781236113578012,E2D16
0.980108466825877,E2D16
0.9779325536363557,E2D16
0.9803339165491493,E4D16
0.9803449118342837,E4D16
0.9796708816733107,E4D16
0.9797387000310439,E4D16
0.9794240799000856,E4D16
0.9804551912698766,E6D16
0.9811579408120231,E6D16
0.9809400158223595,E6D16
0.9800768246224763,E6D16
0.9800069551631395,E6D16
