Kappa,model
0.9814900410248673,E2D8
0.9800686251707462,E2D8
0.9820552642631606,E2D8
0.9814413468618527,E2D8
0.9818435324841353,E2D8
0.9815763533657204,E4D8
0.9827427959721728,E4D8
0.982759870256399,E4D8
0.9806748962351728,E4D8
0.9829705143574633,E4D8
0.9816251370467359,E6D8
0.9829882592288229,E6D8
0.9825832709418603,E6D8
0.9805832899905064,E6D8
0.9825288465626989,E6D8
0.9884219646992393,E2D16
0.9885769957282631,E2D16
0.9888006297974019,E2D16
0.9885751026263561,E2D16
0.9888597156707408,E2D16
0.9876402174016873,E4D16
0.9878389215315883,E4D16
0.9886416686343293,E4D16
0.9878384684466847,E4D16
0.9882310657354566,E4D16
0.9880240625745096,E6D16
0.9883841399399389,E6D16
0.9889335410903011,E6D16
0.9883241266706201,E6D16
0.988536579287257,E6D16
