Kappa,model
0.9515068620458508,S1e-09
0.9518279342263135,S1e-09
0.9519191468775338,S1e-09
0.951893511677006,S1e-09
0.9519782408934708,S1e-09
0.9522130595467281,S1e-08
0.9524784997247799,S1e-08
0.9525400941880732,S1e-08
0.9525188685930872,S1e-08
0.9525815865294469,S1e-08
0.9539577268997808,S1e-07
0.9544229606927388,S1e-07
0.954263052073004,S1e-07
0.9542893079428866,S1e-07
0.954558982883293,S1e-07
0.9402522862289855,S1e-06
0.9403586537379318,S1e-06
0.9402751785699879,S1e-06
0.9392585517348997,S1e-06
0.9404510439126682,S1e-06
0.9402229208411303,S1e-05
0.9402972265378012,S1e-05
0.9402427513976332,S1e-05
0.9403564198340323,S1e-05
0.9404055973560304,S1e-05
0.9402189214354918,S0.0001
0.9402878852290245,S0.0001
0.9402042621265029,S0.0001
0.9403332142023334,S0.0001
0.9403610699948903,S0.0001
