Kappa,model
0.9728731545759556,L6
0.9737487501151292,L6
0.9722271656966208,L6
0.9736024115561882,L6
0.9733471361044547,L6
0.9743346011967375,L16
0.9742883997265955,L16
0.974215461416699,L16
0.9744182909904374,L16
0.974369362032155,L16
0.9745384693297012,L26
0.9745770942964398,L26
0.9738829648681137,L26
0.9745673051383376,L26
0.974533535994832,L26
0.9743620692970227,L36
0.9745701469658201,L36
0.9743625745174193,L36
0.9746135552216079,L36
0.9744799853295566,L36
0.9744124603252076,L46
0.9746776548464338,L46
0.9744603519854665,L46
0.9743738028392088,L46
0.97458036347787,L46
0.974254576910558,L56
0.974460255368924,L56
0.9742325710909324,L56
0.9747210769409945,L56
0.9745356678988831,L56
