Kappa,model
0.9612273824910916,S1e-09
0.9613690516861447,S1e-09
0.9613614411636657,S1e-09
0.9613565382427497,S1e-09
0.9613863280182652,S1e-09
0.9544574568142621,S1e-08
0.9546250498698545,S1e-08
0.9546661608866631,S1e-08
0.9547033806817566,S1e-08
0.9546881875605825,S1e-08
0.9548777373958304,S1e-07
0.9550945622032622,S1e-07
0.9550902824072132,S1e-07
0.9551243526411907,S1e-07
0.9551801286404025,S1e-07
0.9555839153174516,S1e-06
0.9557745887184499,S1e-06
0.9557214058942852,S1e-06
0.9557791295112689,S1e-06
0.9558165633968305,S1e-06
0.9555976817023895,S1e-05
0.9557902755658755,S1e-05
0.9557343323130281,S1e-05
0.9557924118937818,S1e-05
0.9558291082631244,S1e-05
0.955665747517689,S0.0001
0.9558575320023467,S0.0001
0.9558007140114126,S0.0001
0.9558580030212618,S0.0001
0.9558941064528041,S0.0001
