Kappa,model
0.973688047646173,E2D8
0.9738807143907748,E2D8
0.9655047346694138,E2D8
0.9604982162601784,E2D8
0.9592424294856772,E2D8
0.9736706487879212,E4D8
0.9740525396515021,E4D8
0.9736225433807183,E4D8
0.9736837747822993,E4D8
0.9604861938680175,E4D8
0.9736798068965143,E6D8
0.9741369069143098,E6D8
0.9735903868159124,E6D8
0.9654961254365597,E6D8
0.9627115173618274,E6D8
0.9759800446280861,E2D16
0.9760164520410304,E2D16
0.976341408514161,E2D16
0.976465593893409,E2D16
0.9758866650517364,E2D16
0.9759185677282004,E4D16
0.9760427585665626,E4D16
0.976085611100081,E4D16
0.9760596240677548,E4D16
0.9758941467371983,E4D16
0.9760279303394321,E6D16
0.9759840807144524,E6D16
0.9762926935195991,E6D16
0.976082778366804,E6D16
0.9760293283866088,E6D16
