,Kappa,model
0,0.7409365881659209,DT60_D4
1,0.7396939231635091,DT60_D4
2,0.7405941983583808,DT60_D4
3,0.7420388795213664,DT60_D4
4,0.7411717812366432,DT60_D4
0,0.8829530647628024,MLP60_L6
1,0.8846111643553771,MLP60_L6
2,0.8989146504620664,MLP60_L6
3,0.8897570333949174,MLP60_L6
4,0.8936041038999122,MLP60_L6
5,0.9147123538092952,MLP60_L16
6,0.9262132289187665,MLP60_L16
7,0.9188267735637833,MLP60_L16
8,0.9188349808317926,MLP60_L16
9,0.9182231972329731,MLP60_L16
10,0.9255052475677908,MLP60_L26
11,0.9292000835567735,MLP60_L26
12,0.9244524089458513,MLP60_L26
13,0.9256035601124655,MLP60_L26
14,0.9261405325604906,MLP60_L26
15,0.9294773652806416,MLP60_L36
16,0.9349927429171365,MLP60_L36
17,0.9262673847598241,MLP60_L36
18,0.9286709039341476,MLP60_L36
19,0.9288444329366984,MLP60_L36
20,0.9333469190472903,MLP60_L46
21,0.9355162659792982,MLP60_L46
22,0.9324497096706627,MLP60_L46
23,0.934565988416164,MLP60_L46
24,0.9329098852707173,MLP60_L46
25,0.9349052808622031,MLP60_L56
26,0.9345698646282998,MLP60_L56
27,0.935052856336104,MLP60_L56
28,0.9357650965823842,MLP60_L56
29,0.9359838431412674,MLP60_L56
0,0.35273052033520336,NB60_S1e-09
1,0.3860073207717114,NB60_S1e-09
2,0.3186657248613699,NB60_S1e-09
3,0.3779203066842004,NB60_S1e-09
4,0.3346377083598565,NB60_S1e-09
5,0.38855547618056074,NB60_S1e-08
6,0.38932942216309496,NB60_S1e-08
7,0.3875803567155992,NB60_S1e-08
8,0.39105745708483863,NB60_S1e-08
9,0.3838686994564037,NB60_S1e-08
10,0.38534984510876924,NB60_S1e-07
11,0.3862128613613418,NB60_S1e-07
12,0.38525905468217836,NB60_S1e-07
13,0.3863760406527411,NB60_S1e-07
14,0.38643520786905117,NB60_S1e-07
15,0.38801019514508495,NB60_S1e-06
16,0.38873845992726064,NB60_S1e-06
17,0.38795401968096777,NB60_S1e-06
18,0.3894061789240877,NB60_S1e-06
19,0.38826096097989526,NB60_S1e-06
20,0.35495541168606737,NB60_S1e-05
21,0.3546683006483412,NB60_S1e-05
22,0.35414358437878546,NB60_S1e-05
23,0.35527737632929435,NB60_S1e-05
24,0.3558764785250833,NB60_S1e-05
25,0.3542919123901682,NB60_S0.0001
26,0.3521903385619902,NB60_S0.0001
27,0.35100474860788855,NB60_S0.0001
28,0.3528568496827309,NB60_S0.0001
29,0.3524984120955653,NB60_S0.0001
0,0.5930474913879706,ET60_E2D8
1,0.5487033138004898,ET60_E2D8
2,0.5771057023312203,ET60_E2D8
3,0.5614407630501415,ET60_E2D8
4,0.5528618526346326,ET60_E2D8
5,0.5788233919234598,ET60_E4D8
6,0.5908210204749512,ET60_E4D8
7,0.5949453738179882,ET60_E4D8
8,0.5931955635207042,ET60_E4D8
9,0.5772404047566482,ET60_E4D8
10,0.5739234699381515,ET60_E6D8
11,0.5870530756094023,ET60_E6D8
12,0.6034877381020816,ET60_E6D8
13,0.5856942783839145,ET60_E6D8
14,0.6029910634084179,ET60_E6D8
0,0.8809644392948182,RF60_E2D8
1,0.8859879209483639,RF60_E2D8
2,0.8425325482679752,RF60_E2D8
3,0.8815139212267898,RF60_E2D8
4,0.8920031790835357,RF60_E2D8
5,0.8927552465624204,RF60_E4D8
6,0.8868548197670446,RF60_E4D8
7,0.8768747312671563,RF60_E4D8
8,0.8845168862662398,RF60_E4D8
9,0.8923174430660666,RF60_E4D8
