,Kappa,model
0,0.7476334380793681,DT100_D4
1,0.7467091788836464,DT100_D4
2,0.7477355527643977,DT100_D4
3,0.7490177191467291,DT100_D4
4,0.7486575825877919,DT100_D4
0,0.0006565447054854845,MLP100_L6
1,0.00017933076993026376,MLP100_L6
2,-2.0086055031232064e-05,MLP100_L6
3,0.00047931768157183363,MLP100_L6
4,0.000299357596643568,MLP100_L6
5,0.00993896973389441,MLP100_L16
6,0.18257770829623443,MLP100_L16
7,0.0042769335288647126,MLP100_L16
8,0.004154631390299368,MLP100_L16
9,0.3580042829114476,MLP100_L16
10,0.5597770226926435,MLP100_L26
11,0.5722187056446305,MLP100_L26
12,0.6026495013383031,MLP100_L26
13,0.4707173832654664,MLP100_L26
14,0.6188397182194525,MLP100_L26
15,0.007127960704003455,MLP100_L36
16,0.6402999237759257,MLP100_L36
17,0.6333928770696733,MLP100_L36
18,0.5107442971723974,MLP100_L36
19,0.5991327787443606,MLP100_L36
20,0.5528788401893225,MLP100_L46
21,0.7271629328848253,MLP100_L46
22,0.6992877301554512,MLP100_L46
23,0.534307397089856,MLP100_L46
24,0.6958877308468436,MLP100_L46
25,0.6772514411144377,MLP100_L56
26,0.7147181269156537,MLP100_L56
27,0.7677498941199136,MLP100_L56
28,0.7325298758728286,MLP100_L56
29,0.6823336832844186,MLP100_L56
0,3.408067793597702e-05,NB100_S1e-09
1,4.320351602671302e-05,NB100_S1e-09
2,2.8997671422059668e-05,NB100_S1e-09
3,2.2997635592436616e-05,NB100_S1e-09
4,3.7925799441618224e-05,NB100_S1e-09
5,2.7518243553625865e-05,NB100_S1e-08
6,3.445882693919877e-05,NB100_S1e-08
7,2.790741278713149e-05,NB100_S1e-08
8,1.8795629253554047e-05,NB100_S1e-08
9,3.3541012169346907e-05,NB100_S1e-08
10,2.5330768453346586e-05,NB100_S1e-07
11,3.227265846017513e-05,NB100_S1e-07
12,2.4636639170516617e-05,NB100_S1e-07
13,1.4420798369552124e-05,NB100_S1e-07
14,3.025242566356834e-05,NB100_S1e-07
15,2.423703147091949e-05,NB100_S1e-06
16,3.0259983474500984e-05,NB100_S1e-06
17,2.280593889414373e-05,NB100_S1e-06
18,1.2406217321903057e-05,NB100_S1e-06
19,2.949928399054169e-05,NB100_S1e-06
20,2.3143294867078446e-05,NB100_S1e-05
21,2.9166900722077393e-05,NB100_S1e-05
22,2.171568286768455e-05,NB100_S1e-05
23,1.2579049388228292e-05,NB100_S1e-05
24,2.949928399054169e-05,NB100_S1e-05
25,2.3143294867078446e-05,NB100_S0.0001
26,2.9166900722077393e-05,NB100_S0.0001
27,2.062542722258698e-05,NB100_S0.0001
28,1.2579049388228292e-05,NB100_S0.0001
29,2.840308993412588e-05,NB100_S0.0001
0,0.4061425746353763,ET100_E2D8
1,0.47249844585471923,ET100_E2D8
2,0.5838484512155679,ET100_E2D8
3,0.4409139901260861,ET100_E2D8
4,0.4716569291024866,ET100_E2D8
15,0.7445440020804152,ET100_E2D16
16,0.7198796838990635,ET100_E2D16
17,0.7959503828229617,ET100_E2D16
18,0.7887283120677352,ET100_E2D16
19,0.774770651905548,ET100_E2D16
5,0.5735212609707387,ET100_E4D8
6,0.5394531246370527,ET100_E4D8
7,0.6572138192508449,ET100_E4D8
8,0.553176854748129,ET100_E4D8
9,0.5551046314508452,ET100_E4D8
10,0.5395823792577136,ET100_E6D8
11,0.5807220714001965,ET100_E6D8
12,0.6550350198917283,ET100_E6D8
13,0.5986969434238938,ET100_E6D8
14,0.5667559636363806,ET100_E6D8
0,0.909996245166636,RF100_E2D8
1,0.905782037656425,RF100_E2D8
2,0.9193511760501768,RF100_E2D8
3,0.8993825753022812,RF100_E2D8
4,0.9140152879683356,RF100_E2D8
5,0.8956464110420631,RF100_E4D8
6,0.9079479510634924,RF100_E4D8
7,0.9227222058270367,RF100_E4D8
8,0.9109002842640659,RF100_E4D8
9,0.9265762344148085,RF100_E4D8
