Kappa,model
0.8002361726824709,L6
0.793506976256916,L6
0.7896591271354609,L6
0.7911943228322262,L6
0.795532609799315,L6
0.8413794723512341,L16
0.8293780232802517,L16
0.8369323901814241,L16
0.8392448389806767,L16
0.8446964446207218,L16
0.8426602709415736,L26
0.8501440737165703,L26
0.8485606585635976,L26
0.8423452873743147,L26
0.8521725557780623,L26
0.8439436147208466,L36
0.855544654469638,L36
0.8528717549588065,L36
0.8634116584911955,L36
0.8504628638742545,L36
0.8575861101025607,L46
0.8597499389637075,L46
0.8656177951729728,L46
0.8622574129842622,L46
0.8564216809584637,L46
0.8662114599082973,L56
0.8640388990758725,L56
0.8682246402748793,L56
0.8665257615964642,L56
0.8681736508874418,L56
