Kappa,model
0.909996245166636,E2D8
0.905782037656425,E2D8
0.9193511760501768,E2D8
0.8993825753022812,E2D8
0.9140152879683356,E2D8
0.8956464110420631,E4D8
0.9079479510634924,E4D8
0.9227222058270367,E4D8
0.9109002842640659,E4D8
0.9265762344148085,E4D8
0.9264277031810116,E6D8
0.912334114433019,E6D8
0.9242929569994216,E6D8
0.9164332442375178,E6D8
0.92696624325557,E6D8
0.9623120467235111,E2D16
0.9533451130219853,E2D16
0.9574419614531815,E2D16
0.9620548670825838,E2D16
0.9604594788694121,E2D16
0.9647106969937935,E4D16
0.9640344588324106,E4D16
0.9604256953709297,E4D16
0.9621241643119146,E4D16
0.9656207017814111,E4D16
0.9648390036906086,E6D16
0.9647634151165075,E6D16
0.962128315405555,E6D16
0.9622266912841864,E6D16
0.9665774703374241,E6D16
