Kappa,model
0.4061425746353763,E2D8
0.47249844585471923,E2D8
0.5838484512155679,E2D8
0.4409139901260861,E2D8
0.4716569291024866,E2D8
0.5735212609707387,E4D8
0.5394531246370527,E4D8
0.6572138192508449,E4D8
0.553176854748129,E4D8
0.5551046314508452,E4D8
0.5395823792577136,E6D8
0.5807220714001965,E6D8
0.6550350198917283,E6D8
0.5986969434238938,E6D8
0.5667559636363806,E6D8
0.7445440020804152,E2D16
0.7198796838990635,E2D16
0.7959503828229617,E2D16
0.7887283120677352,E2D16
0.774770651905548,E2D16
0.7964164166685792,E4D16
0.8127118982463329,E4D16
0.7888125754681932,E4D16
0.83001131052535,E4D16
0.7778487884435067,E4D16
0.8165594698808301,E6D16
0.8348488957093815,E6D16
0.8300807308833807,E6D16
0.8314192368478787,E6D16
0.8378696138393944,E6D16
