Kappa,model
0.8654260097302303,E2D8
0.8652982944471919,E2D8
0.8657395016122738,E2D8
0.8657020511370027,E2D8
0.8647949672040021,E2D8
0.8666553089829556,E4D8
0.8667370946621502,E4D8
0.8672718548786555,E4D8
0.8672824784228892,E4D8
0.8664304885634486,E4D8
0.8675447049496368,E6D8
0.8677435508285413,E6D8
0.8680539034341583,E6D8
0.8686680957732204,E6D8
0.8669406945910008,E6D8
0.8726670780378587,E2D16
0.8729452033281886,E2D16
0.873437356435115,E2D16
0.8734261508191267,E2D16
0.8726489728282096,E2D16
0.873095612999321,E4D16
0.87335631988788,E4D16
0.8737914138911201,E4D16
0.8737834592731349,E4D16
0.8729918065690236,E4D16
0.873169644264995,E6D16
0.8733618241507399,E6D16
0.873833439019991,E6D16
0.8738649292991365,E6D16
0.8730754862672103,E6D16
