Kappa,model
0.9511593052225388,E2D8
0.9515090154606357,E2D8
0.9504722657000175,E2D8
0.9510266679713292,E2D8
0.9517254486680023,E2D8
0.9544186976543583,E4D8
0.9541881764562116,E4D8
0.9538888837599757,E4D8
0.9541839224395016,E4D8
0.954275402452612,E4D8
0.9563485195350377,E6D8
0.9563574343217167,E6D8
0.9557482923918978,E6D8
0.9564549658251872,E6D8
0.9563687056579797,E6D8
0.9690988334485474,E2D16
0.9693057740723521,E2D16
0.9689362840191682,E2D16
0.9692160326649949,E2D16
0.9690372930539943,E2D16
0.9703215259805744,E4D16
0.9704842067414663,E4D16
0.9702115999691078,E4D16
0.9702923872785658,E4D16
0.9703246333143071,E4D16
0.971061727172669,E6D16
0.9713720690237627,E6D16
0.971048609589234,E6D16
0.9709845637692129,E6D16
0.9710223083464664,E6D16
