Kappa,model
0.8809644392948182,E2D8
0.8859879209483639,E2D8
0.8425325482679752,E2D8
0.8815139212267898,E2D8
0.8920031790835357,E2D8
0.8927552465624204,E4D8
0.8868548197670446,E4D8
0.8768747312671563,E4D8
0.8845168862662398,E4D8
0.8923174430660666,E4D8
0.8926630094356202,E6D8
0.8933729821414966,E6D8
0.8859749892972392,E6D8
0.8854051694016525,E6D8
0.8934750532867667,E6D8
0.9489049134780824,E2D16
0.9454512698187686,E2D16
0.9495291580446411,E2D16
0.9493624916594604,E2D16
0.9486974795385158,E2D16
0.952064446261122,E4D16
0.9517533885955703,E4D16
0.9522152263133492,E4D16
0.9516442263978019,E4D16
0.951224983618643,E4D16
0.9536283121501654,E6D16
0.9532110216886426,E6D16
0.9528264400483899,E6D16
0.9533017398003392,E6D16
0.9526544330163583,E6D16
