Kappa,model
0.3141457818013009,S1e-09
0.3144450104418618,S1e-09
0.31340756050465823,S1e-09
0.3150043663004187,S1e-09
0.31544509020383393,S1e-09
0.3141457818013009,S1e-08
0.3144449013029469,S1e-08
0.31340756050465823,S1e-08
0.3150043663004187,S1e-08
0.31544498254186837,S1e-08
0.3141457818013009,S1e-07
0.3144449013029469,S1e-07
0.31340756050465823,S1e-07
0.3150043663004187,S1e-07
0.31544498254186837,S1e-07
0.3144097081708267,S1e-06
0.31481557214591516,S1e-06
0.3137816708294129,S1e-06
0.3153073026821591,S1e-06
0.31579818245136027,S1e-06
0.31652944907968306,S1e-05
0.31680472314132446,S1e-05
0.31583168690865204,S1e-05
0.3171483200788948,S1e-05
0.31782195749484277,S1e-05
0.31093723028086284,S0.0001
0.3110305654108455,S0.0001
0.3106448433438337,S0.0001
0.31202388835117234,S0.0001
0.31236679747287355,S0.0001
