Kappa,model
0.35080485968225883,E2D8
0.46011432304599975,E2D8
0.466618985216402,E2D8
0.42930874598618307,E2D8
0.3516758014406911,E2D8
0.38375985939510104,E4D8
0.505627083291728,E4D8
0.4695921808813963,E4D8
0.452415905240543,E4D8
0.37128789585191724,E4D8
0.460231370231869,E6D8
0.46634389365258244,E6D8
0.5325484567005595,E6D8
0.4934283637070189,E6D8
0.4434425204562533,E6D8
0.7692785700229304,E2D16
0.7253098906150037,E2D16
0.8097271477173253,E2D16
0.7410906123468991,E2D16
0.7295105601434906,E2D16
0.7244803476781118,E4D16
0.7989012427552977,E4D16
0.8269354057030107,E4D16
0.803942530494817,E4D16
0.7951156957677512,E4D16
0.7564948862414919,E6D16
0.751005367880674,E6D16
0.8330840307558168,E6D16
0.7497204488850511,E6D16
0.8103267703546042,E6D16
