Kappa,model
0.35273052033520336,S1e-09
0.3860073207717114,S1e-09
0.3186657248613699,S1e-09
0.3779203066842004,S1e-09
0.3346377083598565,S1e-09
0.38855547618056074,S1e-08
0.38932942216309496,S1e-08
0.3875803567155992,S1e-08
0.39105745708483863,S1e-08
0.3838686994564037,S1e-08
0.38534984510876924,S1e-07
0.3862128613613418,S1e-07
0.38525905468217836,S1e-07
0.3863760406527411,S1e-07
0.38643520786905117,S1e-07
0.38801019514508495,S1e-06
0.38873845992726064,S1e-06
0.38795401968096777,S1e-06
0.3894061789240877,S1e-06
0.38826096097989526,S1e-06
0.35495541168606737,S1e-05
0.3546683006483412,S1e-05
0.35414358437878546,S1e-05
0.35527737632929435,S1e-05
0.3558764785250833,S1e-05
0.3542919123901682,S0.0001
0.3521903385619902,S0.0001
0.35100474860788855,S0.0001
0.3528568496827309,S0.0001
0.3524984120955653,S0.0001
