Kappa,model
0.4602837802641139,E2D8
0.6614673185796445,E2D8
0.4393361213339607,E2D8
0.4563945580840184,E2D8
0.4360424984553102,E2D8
0.6735104315387732,E4D8
0.6554114228955961,E4D8
0.6450488934127767,E4D8
0.44315924774456283,E4D8
0.43724619126122266,E4D8
0.6716075578550922,E6D8
0.6582997392736176,E6D8
0.6461242630868322,E6D8
0.44517489596484705,E6D8
0.4458856548763225,E6D8
0.7405834553321788,E2D16
0.7994644129738824,E2D16
0.7181909594501065,E2D16
0.7424244715913901,E2D16
0.7840150698222197,E2D16
0.7501421785686064,E4D16
0.7624924000704392,E4D16
0.7536710399113622,E4D16
0.7384352732303379,E4D16
0.7995026526373152,E4D16
0.784962522956115,E6D16
0.7620235915668024,E6D16
0.7395914984847207,E6D16
0.7464231936148578,E6D16
0.7980278396628606,E6D16
