Kappa,model
0.7060381320179429,L6
0.6825053560359389,L6
0.6887810794802727,L6
0.6759998733588908,L6
0.6774636848837989,L6
0.7514981169906341,L16
0.7471954802124998,L16
0.7445694690024658,L16
0.7405541831289169,L16
0.7725298568535903,L16
0.7804616429716031,L26
0.78087769371761,L26
0.7828584596897148,L26
0.7681936147237316,L26
0.7818941762583048,L26
0.7832406104056917,L36
0.7895154038198545,L36
0.804050760707205,L36
0.7764696940837267,L36
0.823502848973683,L36
0.8165514196655881,L46
0.8058662108952863,L46
0.8199059064492823,L46
0.8024089580923798,L46
0.8041691909955211,L46
0.8247022624985043,L56
0.8231221034305033,L56
0.8062530998812854,L56
0.815100827660159,L56
0.8097974643238821,L56
